BEL,SELL,LIMIT,IOC,525,1.31719,1.34363,FILLED,92,525,1712934101440,691.52475
PENDLE,SELL,LIMIT,IOC,16,6.1776091,6.3003000,FILLED,12,16,1712934104577,98.8417456
ACE,SELL,LIMIT,IOC,2.09,7.791315,7.905300,FILLED,2.09,2.09,1712934105381,16.28384835
BEL,SELL,LIMIT,IOC,24,1.31655,1.34470,FILLED,24,24,1712934105725,31.5972
ALGO,SELL,LIMIT,IOC,2820.5,0.2183,0.2215,FILLED,2659.7,2820.5,1712934106235,615.71515
ENA,SELL,LIMIT,IOC,133,1.2470001,1.2660000,FILLED,133,133,1712934106653,165.8510133
ENA,SELL,LIMIT,IOC,66,1.2445344,1.2620000,FILLED,66,66,1712934109437,82.1392704
ACE,SELL,LIMIT,IOC,166.76,7.786279,7.888981,FILLED,15.69,166.76,1712934110093,1298.43988604
ACE,SELL,LIMIT,IOC,45.23,7.772119,7.883839,FILLED,11.03,45.23,1712934113257,351.53294237
AR,SELL,LIMIT,IOC,27.5,27.687,28.102,FILLED,0.1,27.5,1712934116333,761.3925
ETH,SELL,LIMIT,IOC,0.115,3430.72,3444.49,FILLED,0.115,0.115,1712934116333,394.5328
ADA,SELL,LIMIT,IOC,442,0.56029,0.56310,FILLED,442,442,1712934116333,247.64817999999997
FET,SELL,LIMIT,IOC,75,2.3471001,2.3950000,FILLED,75,75,1712934116333,176.0325075
DOT,SELL,LIMIT,IOC,25.7,8.113,8.157,FILLED,25.7,25.7,1712934116333,208.5041
GTC,SELL,LIMIT,IOC,595.8,1.625,1.656,FILLED,193.6,595.8,1712934118223,968.175
BOME,SELL,LIMIT,IOC,25948,0.0108920,0.0110520,FILLED,13319,25948,1712934119226,282.62561600000004
1INCH,SELL,LIMIT,IOC,3545,0.5326,0.5386,FILLED,797,3545,1712934120215,1888.0669999999998
ENA,SELL,LIMIT,IOC,2124,1.2407274,1.2580000,FILLED,1768,2124,1712934121141,2635.3049975999998
AR,SELL,LIMIT,IOC,0.8,27.673,28.100,FILLED,0.8,0.8,1712934121246,22.1384
FTM,SELL,LIMIT,IOC,26,0.871043,0.876400,FILLED,26,26,1712934121246,22.647118
NEAR,SELL,LIMIT,IOC,3,6.4538,6.5510,FILLED,3,3,1712934121246,19.3614
REEF,SELL,LIMIT,IOC,31181,0.002893,0.002949,FILLED,23772,31181,1712934121260,90.20663300000001
SAGA,BUY,LIMIT,IOC,142.7,4.5918205,4.5283166,FILLED,3.4,142.7,1712934121352,655.25278535
PENDLE,SELL,LIMIT,IOC,126,6.1755532,6.2988325,FILLED,85,126,1712934121367,778.1197032
ATOM,SELL,LIMIT,IOC,1.31,10.459,10.521,FILLED,1.31,1.31,1712934121400,13.70129
OP,SELL,LIMIT,IOC,3.1,2.8911488,2.9086000,FILLED,3.1,3.1,1712934121400,8.96256128
GRT,SELL,LIMIT,IOC,15,0.29072,0.29513,FILLED,15,15,1712934121400,4.360799999999999
ATOM,SELL,LIMIT,IOC,5.32,10.457,10.521,FILLED,5.32,5.32,1712934124287,55.631240000000005
SAGA,BUY,LIMIT,IOC,238.6,4.5988015,4.5288343,FILLED,22.7,238.6,1712934124452,1097.2740379000002
ETHFI,SELL,LIMIT,IOC,257.0,4.8688653,4.9410000,FILLED,100.7,257.0,1712934124505,1251.2983821
MANTA,SELL,LIMIT,IOC,1761.1,2.4985621,2.5238621,FILLED,46.0,1761.1,1712934124512,4400.21771431
CFX,SELL,LIMIT,IOC,14611,0.3291291,0.3325284,FILLED,571,14611,1712934124512,4808.9052801
ALGO,SELL,LIMIT,IOC,5000.0,0.2181,0.2214,FILLED,4789.7,5000.0,1712934125266,1090.5
PENDLE,SELL,LIMIT,IOC,73,6.1681311,6.2918219,FILLED,20,73,1712934128211,450.2735703
DOT,SELL,LIMIT,IOC,96.3,8.099,8.150,FILLED,96.3,96.3,1712934128607,779.9337
ENA,SELL,LIMIT,IOC,766,1.2392746,1.2580000,FILLED,766,766,1712934129196,949.2843435999999
BOME,SELL,LIMIT,IOC,148993,0.0108839,0.0110431,FILLED,65586,148993,1712934129611,1621.6249127
BOME,SELL,LIMIT,IOC,17528,0.0108804,0.0110390,FILLED,17528,17528,1712934132059,190.7116512
1000PEPE,SELL,LIMIT,IOC,726881,0.0067420,0.0068412,FILLED,335301,726881,1712934132069,4900.631702
W,SELL,LIMIT,IOC,108.3,0.6884879,0.6987000,FILLED,29.8,108.3,1712934133062,74.56323957000001
1000PEPE,SELL,LIMIT,IOC,692558,0.0067397,0.0068402,FILLED,21218,692558,1712934133079,4667.6331526
BOME,SELL,LIMIT,IOC,241814,0.0108787,0.0110400,FILLED,90240,241814,1712934134154,2630.6219618
DOT,SELL,LIMIT,IOC,36.5,8.097,8.148,FILLED,36.5,36.5,1712934134536,295.5405
1000PEPE,SELL,LIMIT,IOC,42209,0.0067376,0.0068420,FILLED,3728,42209,1712934135452,284.3873584
ENA,BUY,LIMIT,IOC,263,1.2825310,1.2680000,FILLED,45,263,1712934153458,337.305653
KAS,BUY,LIMIT,IOC,11535,0.1427614,0.1407293,FILLED,6,11535,1712934162514,1646.7527490000002
ENA,BUY,LIMIT,IOC,8,1.2869876,1.2720000,FILLED,8,8,1712934175060,10.2959008
ONT,BUY,LIMIT,IOC,11640.7,0.4449,0.4391,FILLED,3047.3,11640.7,1712934176411,5178.94743
ONT,BUY,LIMIT,IOC,432.1,0.4450,0.4396,FILLED,31.0,432.1,1712934179057,192.2845
PENDLE,SELL,LIMIT,IOC,760,6.1643254,6.2901764,FILLED,199,760,1712934180364,4684.887304
SAGA,BUY,LIMIT,IOC,197.3,4.5976701,4.5336000,FILLED,197.3,197.3,1712934194606,907.1203107300001
DUSK,SELL,LIMIT,IOC,496,0.41494,0.42323,FILLED,233,496,1712934196272,205.81024
DUSK,SELL,LIMIT,IOC,2350,0.41489,0.42271,FILLED,684,2350,1712934198219,974.9915
ENA,BUY,LIMIT,IOC,3968,1.2951797,1.2780000,FILLED,622,3968,1712934198574,5139.2730496
SAGA,BUY,LIMIT,IOC,108.7,4.6047315,4.5414258,FILLED,68.4,108.7,1712934200498,500.53431405
RIF,SELL,LIMIT,IOC,388,0.2340484,0.2375800,FILLED,388,388,1712934200605,90.8107792
SAGA,BUY,LIMIT,IOC,112.2,4.6073104,4.5447276,FILLED,31.0,112.2,1712934203534,516.9402268800001
SAGA,BUY,LIMIT,IOC,563.5,4.6123371,4.5549844,FILLED,476.1,563.5,1712934206238,2599.05195585
PENDLE,SELL,LIMIT,IOC,81,6.1629249,6.2867419,FILLED,33,81,1712934206292,499.1969169
SAGA,BUY,LIMIT,IOC,10.6,4.6171345,4.5666047,FILLED,0.5,10.6,1712934207562,48.941625699999996
DUSK,SELL,LIMIT,IOC,682,0.41435,0.42187,FILLED,682,682,1712934207673,282.5867
